"","authorID","title","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent_agree","instr1RT_First.Click","instr1RT_Last.Click","instr1RT_Page.Submit","instr1RT_Click.Count","instr5RT_First.Click","instr5RT_Last.Click","instr5RT_Page.Submit","instr5RT_Click.Count","gender","language","age","ethn","edu","ses","belief","unclear","comments","arr","tN","looplist","subN","trialN","authorN","t","authorNtoMatch","careCommAccurately","immoralBehavior","Q33_Click.Count","Q33_First.Click","Q33_Last.Click","Q33_Page.Submit","Q34_Click.Count","Q34_First.Click","Q34_Last.Click","Q34_Page.Submit","Q362_Click.Count","Q362_First.Click","Q362_Last.Click","Q362_Page.Submit","Q363_DO","tyringAppearMoral","narrN","bestLen","neutralLen","worstLen","wordLength","repDiff"
"1",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:11","4/19/21 18:25","IP Address",100,821,TRUE,"4/19/21 18:25",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,23.301,0,0,0,15.005,0,"Male","Yes",43,"White","Professional degree (e.g. MD, DDS, DVM)",7,3,"n/a","n/a","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",45,1,1,"Best",1,9,25,5,15.278,18.724,20.992,0,0,0,20.607,0,0,0,20.608,"&nbsp;",13,"1_Best",131,86,99,131,-12
"2",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:05","4/19/21 18:33","IP Address",100,1716,TRUE,"4/19/21 18:33",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",177.882,177.882,247.333,1,0,0,17.288,0,"male","Yes",54,"White","Some college, no degree",7,4,"none","none","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",81,1,1,"Best",1,84,0,4,8.496,27.878,29.249,0,0,0,68.288,0,0,0,68.288,"&nbsp;",50,"1_Best",131,86,99,131,50
"3",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:03","4/19/21 18:20","IP Address",100,1004,TRUE,"4/19/21 18:20",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,11.29,0,0,0,50.648,0,"Male","Yes",70,"White","Master’s degree (e.g. MA, MS, MEd)",5,4,"The third question was hard to apply. Rethink the wording of that question.","no...","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",15,2,1,"Best",1,38,25,3,4.731,13.187,15.113,0,0,0,37.734,0,0,0,37.733,"&nbsp;",39,"1_Best",131,86,99,131,14
"4",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:11","4/19/21 18:22","IP Address",100,644,TRUE,"4/19/21 18:22",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,6.048,0,4.393,4.393,27.842,1,"male","Yes",70,"White","Some college, no degree",7,4,"very clear","no","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",28,2,1,"Original",1,81,33,3,3.379,9.109,9.984,2,3.32,4.942,17.18,2,3.32,4.943,17.18,"&nbsp;",56,"1_Original",131,86,99,86,23
"5",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:30","4/19/21 18:41","IP Address",100,655,TRUE,"4/19/21 18:41",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,6.988,0,0,0,11.816,0,"male","Yes",64,"White","Some college, no degree",3,4,"none","none","N",11,"1_2_3_4_5_6_7_8_9_10_11_12",104,2,1,"Original",1,64,38,3,5.205,10.888,11.812,0,0,0,20.418,0,0,0,20.418,"&nbsp;",62,"1_Original",131,86,99,86,24
"6",1,"I was a cheating jerk to my ex girlfriend.","4/20/21 11:59","4/20/21 12:15","IP Address",100,946,TRUE,"4/20/21 12:15",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,10.175,0,0,0,14.132,0,"Female","Yes",76,"Black or African American","Master’s degree (e.g. MA, MS, MEd)",2,4,"I do not feel that anything was unclear.","No","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",288,2,1,"Worst",1,17,0,3,4.526,18.029,19.8,0,0,0,27.944,0,0,0,27.945,"&nbsp;",80,"1_Worst",131,86,99,99,80
"7",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:09","4/19/21 18:28","IP Address",100,1134,TRUE,"4/19/21 18:28",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,33.538,0,0,0,33.567,0,"female","Yes",62,"White","Bachelor’s degree (e.g. BA, BS)",5,4,"999","999","W",11,"1_2_3_4_5_6_7_8_9_10_11_12",58,3,1,"Original",1,76,58,3,3.683,7.801,8.777,0,0,0,72.386,0,0,0,72.385,"&nbsp;",74,"1_Original",131,86,99,86,16
"8",1,"I was a cheating jerk to my ex girlfriend.","4/20/21 3:13","4/20/21 3:33","IP Address",100,1229,TRUE,"4/20/21 3:33",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,11.03,0,10.933,17.387,36.492,2,"male","Yes",52,"Black or African American","Associate degree (e.g. AA, AS)",4,4,"no","no","B",11,"1_2_3_4_5_6_7_8_9_10_11_12",284,3,1,"Original",1,36,31,6,1.552,10.567,11.551,5,2.619,10.144,26.063,5,2.619,10.144,26.063,"&nbsp;",82,"1_Original",131,86,99,86,51
"9",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 18:02","4/19/21 18:26","IP Address",100,1414,TRUE,"4/19/21 18:26",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,11.619,0,0,0,156.234,0,"female","Yes",27,"Asian","Bachelor’s degree (e.g. BA, BS)",6,1,"there was none.","best of luck.:)","W",11,"1_2_3_4_5_6_7_8_9_10_11_12",51,4,1,"Original",1,72,63,3,3.459,9.019,11.043,0,0,0,68.955,0,0,0,68.953,"&nbsp;",72,"1_Original",131,86,99,86,9
"10",1,"I was a cheating jerk to my ex girlfriend.","4/19/21 19:25","4/19/21 19:34","IP Address",100,540,TRUE,"4/19/21 19:34",NA,NA,NA,NA,"anonymous","EN","I have read the above information, have had the opportunity to have any questions about this study answered and agree to participate in this study.",0,0,4.497,0,0,0,4.939,0,"male","Yes",23,"White","Bachelor’s degree (e.g. BA, BS)",4,4,"N/A","One of the stories was hardly coherent, but the rest of the stories were of greater quality than I expected.","W",11,"1_2_3_4_5_6_7_8_9_10_11_12",139,4,1,"Worst",1,61,25,3,1.879,5.559,6.076,0,0,0,14.82,0,0,0,14.82,"&nbsp;",14,"1_Worst",131,86,99,99,-11
