ResponseID,study,criminals_born_not_made,genetically_predisposed,criminals_will_always_be_criminals,rehabilitation_programs,bob_death_penalty,bob_life_sentence,bob_years_in_prison,bob_eligible_for_parole,ageyears,gender,race,attention_check,use_data
R_0NxdPlDkYxRyjw9,1,1,6,3,6,0,0,25,1,24,woman,1,Bob committed arson and burnt down a shack which killed a sleeping person.,1
R_0qEB4keLz1of73T,1,2,2,2,4,0,1, ,1,46,woman,1,"Joe got into an argument with a store clerk and kicked him in the head several times, killing him.",1
R_0STQbburkWn3yW9,1,1,1,1,7,0,0,20,1,33,woman,1,In the first one he caught a shed on fire not knowing somebody was sleeping in it and the person died as a result.,1
R_0uiIGFs1X2HO0gR,1,2,4,2,5,0,0,7,1,26,man,1,bob set fire to a shack and accidentally killed someone that was sleeping.,1
R_0v3b3QA3o87lozj,1, , , , , , , , , ,woman, ,,0
R_0Vgoduy2u2EVQH3,1,2,1,1,6,0,0,10,1,29,man,1,Joe has a history of violence. One day he got into an argument with a store clerk. He started kicking the clerk in the head and because of that the clerk died.,1
R_1LmIaGUblPisCJn,1,2,3,2,4,0,1, ,1, ,woman, ,,0
R_1M7AnDUqFOil5M9,1,2,1,1,5,0,0,20,1,24,man,1,Joe has anger issues. He beat a store clerk to death after an argument.,1
R_1NB4dffy7Vg2VEh,1,1,2,1,6,0, , , ,43,man,2,One of them set a fire that accidentally killed someone.,1
R_1R07tATgOoNiqwd,1,2,3,2,6,0,1, ,0, ,woman, ,,0
R_1zyk45e7xzRYwRf,1,1,1,3,7,0,0,10,1,27,man,1,"A man set a shack on fire, when there was someone asleep inside of it, who died.",1
R_25g0AT98MMxDx3v,1,3,4,7,4,1, , , ,33,woman,1,joe got into an arguement with a sales clerk and kept kicking him in the head until he died.,1
R_2gIErdvbsxNb8kB,1,2,1,2,6,0,1, ,0,38,man,1,assaulted a guy and killed him,1
R_2n7YFr3JAfpQyJT,1,4,4, ,4,0,0,10,1,24,man,1,Bob liked fire and burned a shack by his house and there was someone inside and they died,1
R_37Yg8IkRI19vEUd,1,4,6,4,6,0,0,5,1,31,man,5,"He set fire to a shed, not knowing that someone was sleeping inside. He was charged with arson and murder.",1
R_38jX77YU10mfQGh,1,1,3,1,6,0,0,10,1,25,woman,1,Joe burned down a shack and accidentally killed someone sleeping inside.,1
R_3gxFjnozPYHLUGN,1,1,2,4,1,1, , , ,34,woman,1,Bob committed arson murder,1
R_3OeHSieghwBulGl,1, , , , ,0,1, ,0, ,woman, ,,0
R_3PKAdwDrDrMlafP,1,1,1,1,7,0,0,20,1,27,man,1,Bob loved fire and committed arson. The fire ended up killing someone inside the shack.,1
R_3rADYLaZcfLA1fv,1,4,6,4,6,1, , , ,26,woman,2,bob set arson to a house and killed somebody that was close to the house.,1
R_3x70V43JdgBAJzn,1,1,1,3,6,0,0,20,0,35,man,1,One of them liked fire and set a small shack on fire without looking inside first and ended up killing someone who was inside.,1
R_3z3xKdcjm3NIFOB,1,3,3,1,7,0,0,5,1,58,man,5,"I believe it was Joe, who assaulted a clerk, he fell, hit his head and died.  He had a history of aggressive behavior.",1
R_3ZZyQ0fBq0wftpH,1,2,3,2,6,0,0,20,1,24,woman,1,Joe had a history of violent behavior. He fought with a store clerk and kicked him to death.,1
R_4HgJMOPQGLabvIF,1,3,6,3,6,0,0,7,1,56,man,3,"Bob hard an argument with a store clerk and became physical.  Even after the clerk fell, Bob kept kicking him in the head.",1
R_4N6c3iO5hjkLhEp,1,1,1,2,5,0,0,25,1,26,man,2,Arson and murder,1
R_5aKwVo20rQcyWyx,1,5,3,1,7,0,1, ,1,30,man,1,bob set fire to a small shack. He did not know there was a child sleeping inside. the child died in the fire,1
R_5hvF0hwcRg0YXwF,1,1,1,1,7,0,0,10,1,50,man,1,The first set fire to what he thought was an empty building.  The other murdered someone in a fight at a convenience store,1
R_5nJCPUXNnYSDvo1,1, , , , , , , , , ,woman, ,,0
R_5oLZudX0YBu0o6x,1,4,4,5,4,1, , , ,25,man,1,Man set shack on fire and someone dies.,1
R_6AlmMLYv5De6mu9,1,1,1,1,7,0,0,20,1,36,woman,1,One of them set fire to a shack without looking in it and seeing there was someone sleeping inside.,1
R_6fAwV075CSTULiJ,1,2,4,1,7,0,0,5,1,66,woman,1,Bob liked fire...he set fire to shack near his home but didn't check inside.  Someone was sleeping in the shack and died in the fire.,1
R_6r1SOTNEJrrhwfb,1,2,4,1,6,0,1, ,1,35,man,1,"Bob committed arson on a building, killing a person inside that he did not know was in there, resulting in a charge of second degree murder also.",1
R_6yU878cth5cyZ1P,1,1,1,2,4,0,1, ,0,32,man,1,he burned a shack down with a person in it who died,1
R_7P4xi6iCYOz5z3D,1,1,4,2,5,0,1, ,0,62,woman,1,Bob was an arsonist who set fire to a shack. He didn't know someone was inside the shack at the time and the person died in the fire.,1
R_7P5Q8NPh8W7eon3,1,2,5,1,5,0,0,2,1,49,man,1,Joe kicking the clerk in the head and killing the person.  Joe had been in jail before for second degree murder,1
R_7PeHYSi6gDkSf9r,1,2,2,2,5,0,0,8,1,73,woman,1,During a robbery Joe killed a person. The other muder occurred when Bob set fire to a shack and did not know a person was in it.,1
R_7U2xvVKZWY4ednv,1,2,2,2,7,0,1, ,1,42,man,1,Bob started a fire in a building and killed a sleeping person,1
R_7VdKPH3aC3GIeHP,1,5,5,4,5,0,0,10,1,27,woman,6,Joe killed a man by repeatedly kicking him in the head while he was down.,1
R_7W0ufmZK0KZlE0J,1,1,5,1,5,0, , , ,56,man,1,"joe got into an argument with a store clerk, started assaulting him and kept kicking him in the head; the clerk died",1
R_86uASez0t2DQLrv,1,1,2,1,5,0,0,10,1,37,man,1,bob set fire to a shed on his property and killed a sleeping person inside,1
R_8cvmMdsYzbEjBT7,1,1,1,7,6,0,0,2,1,31,woman,1,bob set his shack on fire and there was someone sleeping in the shack and they died,1
R_8cvR0jR6aUVqUFD,1,4,4,3,5,0,1, ,1,38,man,3,"Bob set fire to a shack, killing the person sleeping inside the shack.  He didnt check the shack first.",1
R_8eJdLbixxzUVsI5,1,4,5,4,4,0,0,10,1,32,woman,1,a man committed arson but he didn't check to see if someone was in the house. he ultimately killed someone in the house as a result.,1
R_8HfqkEQmJru1E3z,1,4,7,2,5,0,0,15,0,29,man,1,"Joe had a thing for fire, and burnt down his shed, he didn't check to see if anyone was in it first, and someone who had been sleeping thier burned to death. So he was being accused of notonly Arson but Murder",1
R_9Er3gy88wv8ADWd,1,2,5,2,6,0,0,20,1,38,man,6,"Bob was a firebug who lit a shack on fire without realizing there was someone in there, thus accidentally killing that person.",1
R_9LJgAyVsKtUhrRr,1,4,4,3,3, , , , , ,woman, ,,0
R_9oSvaa8jxnx89ql,1,4,6,1,7,1, , , ,35,man,1,Started a fire and accidentally killed a person.,1
R_9RlJKOfbjRIAxqB,1,2,2,1,6,0,0,8,1,54,woman,1,"Bob performed an act of arson, which resulted in the death of one person.",1
R_9RXwWTNBQnAthkx,1,2,3,4,6,1, , , ,67,man,1,Joe had a facination with fire. He set a house on fire and a man died.,1
R_9XYyiCozd1htv3T,1,2,2,2,6,0,0,10,1,32,man,1,Bob set fire to a shack and killed someone accidentally,1
R_a3jJZhz546nbXyR,1, , , , ,0,1, ,1, ,woman, ,,0
R_b2bjhcvXBhSlabb,1,1,1,1,7,0,0,8,1,26,woman,1,2nd degree murder through the kicking of a store clerk,1
R_b7mMofGkZNYFgXj,1,2,2,2,5,0,0,20,1,24,woman,1,set fire to a home and killed someone inside,1
R_b90wkk3ExvhYJkp,1,5,4,6,4,1, , , ,35,man,1,One of them set fire to a shack and killed the person sleeping inside,1
R_bCV37pP6lEh3dfD,1,3,5,3,6,0,0, ,1,28,man,1,Set fire to a building without knowing a man was inside,1
R_bEnIcKwGWKhYLY1,1,1,1,1,1,1, , , ,36,woman,1,BOB SET A FIRE,1
R_bj4O1yoLszy8w73,1,3,5,6,6,1, , , ,31,woman,3,arson the person set something on fire which caused a death,1
R_bltsLrh0cvhYYAZ,1,2,5,2,6,0,1, ,1,30,woman,1,"Joe got into an argument with a store clerk. He physically attacked the clerk, and when he was on the ground, Joe kicked him repeatedly in the head and killed him.",1
R_bqDI4IhvCYsn1I1,1,1,1,2,5,0,0,15,1,22,woman,1,"One set fire to a shed, which happened to have someone in it.",1
R_cAzm29imva0fwb3,1,1,1,1,7,0,0,15,1,34,woman,2,Joe was a pyromanic that ended up burning down a shack with a person inside.   He was arrested and charged with second-degree murder.,1
