"","rt","experimentName","experimentVersion","experimentTime","studyID","sessionID","browserName","browserVersion","displayWindowHeight","displayWindowWidth","displayScreenHeight","displayScreenWidth","noticed_dino","noticed_gorilla","graphDescription","senseDescription","commentText","totalTime"
"1",1522.7,"graph_relations","phones_hides_relationship",254100.4,0,0,"Chrome",103,957,1903,1080,1920,"yes","no","GigaMax has a longer battery life during audio only calls which is logical, but BerryTech has a slightly longer battery life during audio + video calls which is odd.","no","It's a basic test of whether the participant was paying attention to the visuals or not.",305713.6
"2",38034.6,"graph_relations","phones_hides_relationship",185964,0,1,"Chrome",101,736,1295,900,1440,"no","no","Gigamax is better in audio. It's also better in audio + video for around 10 hours or more. ","no","The instructions were clear. Thank you very much for you time and work. ",205433.6
"3",48879,"graph_relations","phones_hides_relationship",143598,0,3,"Firefox",101,1335,2543,1440,2560,"no","no","I noticed that BerryTech had less battery life compared to GigaMax, and the difference between video and audio and video for GigaMax is much larger than BerryTech.","no","The instructions were clear and there were no technical difficulties.",163682
"4",76908,"graph_relations","phones_hides_relationship",197639.4,0,4,"Chrome",103,1027,1903,1080,1920,"no","no","Gigamax performs overall nearly twice as better as BerryTech in both audio and audio/video. BerryTech remains around the same battery life for both audio and audio/video, making it more consistent.","No","I think the instructions were clear but the trick questions really got to me, particularly the first one!",244423.6
"5",52893,"graph_relations","phones_hides_relationship",153831.7,0,5,"Chrome",103,1100,1903,1080,1920,"yes","no","that gigamax was better then berrytech in both categories but berrytech had an improvement with audio and video compared to just audio.","no","everything seemed to be clear, this was a fun little graph and thing to do.",184044.8
"6",36542.8,"graph_relations","phones_hides_relationship",133046.8,0,6,"Chrome",102,989,1903,1080,1920,"no","no","Gigamax is better for both categories. It was much closer on audio though. ","No","I didn't have any issues and the instructions were very clear. ",173900.3
"7",28286.5,"graph_relations","phones_hides_relationship",103378.3,0,7,"Chrome",103,699,1425,900,1440,"no","no","gigamax is better in terms of battery. berrytech is consistent btw the two ","no","no issues. instructions were clear. no idea what you were trying to do",121745.4
"8",130012.2,"graph_relations","phones_hides_relationship",233715.1,0,8,"Chrome",103,949,1903,1080,1920,"yes","no","Gigamax out performed BerryTech in both audio calls and video calls. I also found it odd BerryTech battery life is better on video calls compared to audio calls.","no","Yes, the instructions were clear. There was no technical issues. I guess it was to see how well people remember graphs at a quick glance.",310179.6
"9",54443,"graph_relations","phones_hides_relationship",133527.8,0,9,"Chrome",103,621,1263,720,1280,"no","no","Gigamax out performs on both audio calls.

Gigamax out performs on audio/video calls.","no","I totally missed those patterns and was more focused on looking at the two companies agaisnt each other than the one company's information on both lines.",170732.9
"10",24319,"graph_relations","phones_hides_relationship",106044,0,10,"Firefox",101,901,1920,1080,1920,"yes","no","GigaMax performs better when doing just audio but BerryTech performs better when  utilizing video as well as audio.","No","I thought this was an interesting experiment and wouldn't change anything.",129997
